Name,Weight,CumulativeWeight
Christian,0.065,75.233,236
Javier,0.065,75.297,237
Fernando,0.065,75.362,238
Clinton,0.065,75.427,239
Ted,0.064,75.491,240
Mathew,0.064,75.555,241
Tyrone,0.064,75.619,242
Darren,0.064,75.683,243
Lonnie,0.064,75.746,244
Lance,0.063,75.810,245
Cody,0.063,75.873,246
Julio,0.063,75.936,247
Kelly,0.063,75.998,248
Kurt,0.062,76.061,249
Allan,0.061,76.122,250
Nelson,0.061,76.182,251
Guy,0.060,76.243,252
Clayton,0.060,76.303,253
Hugh,0.060,76.363,254
Max,0.059,76.421,255
Dwayne,0.059,76.480,256
Dwight,0.058,76.538,257
Armando,0.058,76.596,258
Felix,0.058,76.654,259
Jimmie,0.058,76.711,260
Everett,0.057,76.768,261
Jordan,0.056,76.824,262
Ian,0.056,76.880,263
Wallace,0.056,76.936,264
Ken,0.055,76.991,265
Bob,0.055,77.047,266
Jaime,0.055,77.102,267
Casey,0.054,77.156,268
Alfredo,0.054,77.210,269
Alberto,0.053,77.263,270
Dave,0.053,77.316,271
Ivan,0.053,77.369,272
Johnnie,0.052,77.421,273
Sidney,0.052,77.474,274
Byron,0.052,77.526,275
Julian,0.052,77.578,276
Isaac,0.051,77.629,277
Morris,0.051,77.680,278
Clifton,0.050,77.730,279
Willard,0.050,77.780,280
Daryl,0.050,77.831,281
Ross,0.050,77.880,282
Virgil,0.049,77.929,283
Andy,0.049,77.979,284
Marshall,0.049,78.028,285
Salvador,0.049,78.077,286
Perry,0.049,78.126,287
Kirk,0.049,78.175,288
Sergio,0.049,78.224,289
Marion,0.048,78.272,290
Tracy,0.048,78.320,291
Seth,0.048,78.368,292
Kent,0.048,78.416,293
Terrance,0.048,78.464,294
Rene,0.048,78.512,295
Eduardo,0.047,78.559,296
Terrence,0.047,78.606,297
Enrique,0.046,78.652,298
Freddie,0.046,78.698,299
Wade,0.045,78.743,300
Austin,0.044,78.786,301
Stuart,0.044,78.830,302
Fredrick,0.043,78.873,303
Arturo,0.043,78.917,304
Alejandro,0.043,78.960,305
Jackie,0.043,79.002,306
Joey,0.043,79.045,307
Nick,0.043,79.088,308
Luther,0.043,79.130,309
Wendell,0.042,79.172,310
Jeremiah,0.042,79.215,311
Evan,0.042,79.257,312
Julius,0.042,79.298,313
Dana,0.042,79.340,314
Donnie,0.041,79.381,315
Otis,0.041,79.422,316
Shannon,0.040,79.462,317
Trevor,0.040,79.503,318
Oliver,0.040,79.543,319
Luke,0.040,79.583,320
Homer,0.040,79.623,321
Gerard,0.040,79.663,322
Doug,0.040,79.703,323
Kenny,0.039,79.742,324
Hubert,0.039,79.782,325
Angelo,0.039,79.821,326
Shaun,0.039,79.859,327
Lyle,0.038,79.898,328
Matt,0.038,79.936,329
Lynn,0.038,79.974,330
Alfonso,0.038,80.012,331
Orlando,0.037,80.049,332
Rex,0.037,80.086,333
Carlton,0.037,80.123,334
Ernesto,0.037,80.160,335
Cameron,0.037,80.197,336
Neal,0.037,80.233,337
Pablo,0.036,80.270,338
Lorenzo,0.036,80.306,339
Omar,0.036,80.342,340
Wilbur,0.036,80.378,341
Blake,0.036,80.414,342
Grant,0.036,80.450,343
Horace,0.036,80.486,344
Roderick,0.036,80.521,345
Kerry,0.036,80.557,346
Abraham,0.035,80.592,347
Willis,0.035,80.627,348
Rickey,0.035,80.662,349
Jean,0.035,80.696,350
Ira,0.035,80.731,351
Andres,0.034,80.766,352
Cesar,0.034,80.800,353
Johnathan,0.034,80.834,354
Malcolm,0.034,80.868,355
Rudolph,0.034,80.902,356
Damon,0.034,80.936,357
Kelvin,0.034,80.970,358
Rudy,0.034,81.004,359
Preston,0.034,81.037,360
Alton,0.033,81.071,361
Archie,0.033,81.104,362
Marco,0.033,81.137,363
Wm,0.033,81.170,364
Pete,0.032,81.202,365
Randolph,0.032,81.234,366
Garry,0.032,81.267,367
Geoffrey,0.032,81.299,368
Jonathon,0.032,81.331,369
Felipe,0.032,81.363,370
Bennie,0.032,81.395,371
Gerardo,0.032,81.427,372
Ed,0.032,81.458,373
Dominic,0.032,81.490,374
Robin,0.032,81.522,375
Loren,0.032,81.553,376
Delbert,0.031,81.585,377
Colin,0.031,81.616,378
Guillermo,0.031,81.647,379
Earnest,0.031,81.678,380
Lucas,0.031,81.709,381
Benny,0.030,81.739,382
Noel,0.030,81.769,383
Spencer,0.030,81.799,384
Rodolfo,0.030,81.828,385
Myron,0.030,81.858,386
Edmund,0.030,81.887,387
Garrett,0.029,81.917,388
Salvatore,0.029,81.946,389
Cedric,0.029,81.975,390
Lowell,0.029,82.004,391
Gregg,0.029,82.032,392
Sherman,0.028,82.061,393
Wilson,0.028,82.089,394
Devin,0.028,82.117,395
Sylvester,0.028,82.145,396
Kim,0.028,82.173,397
Roosevelt,0.028,82.201,398
Israel,0.028,82.229,399
Jermaine,0.028,82.257,400
Forrest,0.027,82.284,401
Wilbert,0.027,82.310,402
Leland,0.027,82.337,403
Simon,0.026,82.363,404
Guadalupe,0.026,82.390,405
Clark,0.026,82.416,406
Irving,0.026,82.442,407
Carroll,0.026,82.468,408
Bryant,0.026,82.494,409
Owen,0.026,82.519,410
Rufus,0.025,82.545,411
Woodrow,0.025,82.570,412
Sammy,0.025,82.595,413
Kristopher,0.025,82.620,414
Mack,0.025,82.645,415
Levi,0.025,82.670,416
Marcos,0.025,82.695,417
Gustavo,0.025,82.720,418
Jake,0.025,82.744,419
Lionel,0.024,82.769,420
Marty,0.024,82.793,421
Taylor,0.024,82.817,422
Ellis,0.024,82.842,423
Dallas,0.024,82.866,424
Gilberto,0.024,82.890,425
Clint,0.024,82.914,426
Nicolas,0.024,82.938,427
Laurence,0.024,82.962,428
Ismael,0.024,82.985,429
Orville,0.024,83.009,430
Drew,0.024,83.033,431
Jody,0.024,83.056,432
Ervin,0.023,83.080,433
Dewey,0.023,83.103,434
Al,0.023,83.126,435
Wilfred,0.023,83.150,436
Josh,0.023,83.173,437
Hugo,0.023,83.196,438
Ignacio,0.023,83.219,439
Caleb,0.023,83.241,440
Tomas,0.023,83.264,441
Sheldon,0.023,83.287,442
Erick,0.023,83.310,443
Frankie,0.023,83.332,444
Stewart,0.022,83.354,445
Doyle,0.022,83.377,446
Darrel,0.022,83.399,447
Rogelio,0.022,83.421,448
Terence,0.022,83.443,449
Santiago,0.022,83.465,450
Alonzo,0.022,83.487,451
Elias,0.022,83.508,452
Bert,0.022,83.530,453
Elbert,0.022,83.552,454
Ramiro,0.022,83.573,455
Conrad,0.022,83.595,456
Pat,0.022,83.616,457
Noah,0.022,83.638,458
Grady,0.021,83.659,459
Phil,0.021,83.681,460
Cornelius,0.021,83.702,461
Lamar,0.021,83.723,462
Rolando,0.021,83.744,463
Clay,0.021,83.765,464
Percy,0.021,83.786,465
Dexter,0.021,83.806,466
Bradford,0.021,83.827,467
Merle,0.021,83.848,468
Darin,0.020,83.868,469
Amos,0.020,83.888,470
Terrell,0.020,83.909,471
Moses,0.020,83.929,472
Irvin,0.020,83.949,473
Saul,0.020,83.968,474
Roman,0.020,83.988,475
Darnell,0.020,84.008,476
Randal,0.020,84.027,477
Tommie,0.020,84.047,478
Timmy,0.019,84.066,479
Darrin,0.019,84.086,480
Winston,0.019,84.105,481
Brendan,0.019,84.124,482
Toby,0.019,84.144,483
Van,0.019,84.163,484
Abel,0.019,84.182,485
Dominick,0.019,84.201,486
Boyd,0.019,84.220,487
Courtney,0.019,84.240,488
Jan,0.019,84.259,489
Emilio,0.019,84.277,490
Elijah,0.019,84.296,491
Cary,0.019,84.315,492
Domingo,0.019,84.334,493
Santos,0.019,84.353,494
Aubrey,0.019,84.372,495
Emmett,0.019,84.390,496
Marlon,0.019,84.409,497
Emanuel,0.019,84.428,498
Jerald,0.019,84.446,499
Edmond,0.019,84.465,500
Emil,0.019,84.483,501
Dewayne,0.018,84.502,502
Will,0.018,84.520,503
Otto,0.018,84.538,504
Teddy,0.018,84.556,505
Reynaldo,0.018,84.574,506
Bret,0.018,84.592,507
Morgan,0.018,84.610,508
Jess,0.018,84.628,509
Trent,0.018,84.646,510
Humberto,0.018,84.664,511
Emmanuel,0.018,84.681,512
Stephan,0.018,84.699,513
Louie,0.018,84.717,514
Vicente,0.017,84.734,515
Lamont,0.017,84.751,516
Stacy,0.017,84.769,517
Garland,0.017,84.786,518
Miles,0.017,84.803,519
Micah,0.017,84.820,520
Efrain,0.017,84.837,521
Billie,0.017,84.854,522
Logan,0.017,84.871,523
Heath,0.017,84.887,524
Rodger,0.017,84.904,525
Harley,0.017,84.921,526
Demetrius,0.017,84.937,527
Ethan,0.017,84.954,528
Eldon,0.017,84.970,529
Rocky,0.016,84.987,530
Pierre,0.016,85.003,531
Junior,0.016,85.020,532
Freddy,0.016,85.036,533
Eli,0.016,85.052,534
Bryce,0.016,85.068,535
Antoine,0.016,85.084,536
Robbie,0.016,85.100,537
Kendall,0.016,85.116,538
Royce,0.016,85.132,539
Sterling,0.016,85.148,540
Mickey,0.016,85.164,541
Chase,0.016,85.180,542
Grover,0.016,85.196,543
Elton,0.016,85.212,544
Cleveland,0.016,85.228,545
Dylan,0.016,85.243,546
Chuck,0.016,85.259,547
Damian,0.016,85.274,548
Reuben,0.015,85.290,549
Stan,0.015,85.305,550
August,0.015,85.321,551
Leonardo,0.015,85.336,552
Jasper,0.015,85.351,553
Russel,0.015,85.367,554
Erwin,0.015,85.382,555
Benito,0.015,85.397,556
Hans,0.015,85.412,557
Monte,0.015,85.427,558
Blaine,0.015,85.442,559
Ernie,0.015,85.456,560
Curt,0.015,85.471,561
Quentin,0.015,85.486,562
Agustin,0.015,85.500,563
Murray,0.015,85.515,564
Jamal,0.014,85.529,565
Devon,0.014,85.544,566
Adolfo,0.014,85.558,567
Harrison,0.014,85.573,568
Tyson,0.014,85.587,569
Burton,0.014,85.601,570
Brady,0.014,85.616,571
Elliott,0.014,85.630,572
Wilfredo,0.014,85.644,573
Bart,0.014,85.658,574
Jarrod,0.014,85.672,575
Vance,0.014,85.686,576
Denis,0.014,85.700,577
Damien,0.014,85.714,578
Joaquin,0.014,85.728,579
Harlan,0.014,85.742,580
Desmond,0.014,85.756,581
Elliot,0.014,85.770,582
Darwin,0.014,85.783,583
Ashley,0.014,85.797,584
Gregorio,0.014,85.811,585
Buddy,0.014,85.824,586
Xavier,0.013,85.838,587
Kermit,0.013,85.851,588
Roscoe,0.013,85.865,589
Esteban,0.013,85.878,590
Anton,0.013,85.891,591
Solomon,0.013,85.904,592
Scotty,0.013,85.917,593
Norbert,0.013,85.930,594
Elvin,0.013,85.943,595
Williams,0.013,85.956,596
Nolan,0.013,85.969,597
Carey,0.013,85.982,598
Rod,0.013,85.994,599
Quinton,0.013,86.007,600
Hal,0.013,86.020,601
Brain,0.013,86.033,602
Rob,0.013,86.045,603
Elwood,0.013,86.058,604
Kendrick,0.013,86.070,605
Darius,0.013,86.083,606
Moises,0.013,86.096,607
Son,0.012,86.108,608
Marlin,0.012,86.120,609
Fidel,0.012,86.133,610
Thaddeus,0.012,86.145,611
Cliff,0.012,86.158,612
Marcel,0.012,86.170,613
Ali,0.012,86.182,614
Jackson,0.012,86.195,615
Raphael,0.012,86.207,616
Bryon,0.012,86.219,617
Armand,0.012,86.231,618
Alvaro,0.012,86.244,619
Jeffry,0.012,86.256,620
Dane,0.012,86.268,621
Joesph,0.012,86.280,622
Thurman,0.012,86.292,623
Ned,0.012,86.304,624
Sammie,0.012,86.316,625
Rusty,0.012,86.328,626
Michel,0.012,86.339,627
Monty,0.012,86.351,628
Rory,0.012,86.363,629
Fabian,0.012,86.374,630
Reggie,0.012,86.386,631
Mason,0.012,86.397,632
Graham,0.012,86.409,633
Kris,0.011,86.420,634
Isaiah,0.011,86.432,635
Vaughn,0.011,86.443,636
Gus,0.011,86.454,637
Avery,0.011,86.466,638
Loyd,0.011,86.477,639
Diego,0.011,86.488,640
Alexis,0.011,86.499,641
Adolph,0.011,86.511,642
Norris,0.011,86.522,643
Millard,0.011,86.533,644
Rocco,0.011,86.544,645
Gonzalo,0.011,86.555,646
Derick,0.011,86.566,647
Rodrigo,0.011,86.577,648
Gerry,0.011,86.588,649
Stacey,0.011,86.599,650
Carmen,0.011,86.610,651
Wiley,0.011,86.621,652
Rigoberto,0.011,86.632,653
Alphonso,0.011,86.643,654
Ty,0.011,86.654,655
Shelby,0.011,86.664,656
Rickie,0.011,86.675,657
Noe,0.011,86.686,658
Vern,0.010,86.696,659
Bobbie,0.010,86.707,660
Reed,0.010,86.717,661
Jefferson,0.010,86.727,662
Elvis,0.010,86.738,663
Bernardo,0.010,86.748,664
Mauricio,0.010,86.758,665
Hiram,0.010,86.768,666
Donovan,0.010,86.778,667
Basil,0.010,86.789,668
Riley,0.010,86.799,669
Ollie,0.010,86.809,670
Nickolas,0.010,86.819,671
Maynard,0.010,86.829,672
Scot,0.010,86.840,673
Vince,0.010,86.850,674
Quincy,0.010,86.860,675
Eddy,0.010,86.870,676
Sebastian,0.010,86.880,677
Federico,0.010,86.890,678
Ulysses,0.010,86.900,679
Heriberto,0.010,86.910,680
Donnell,0.010,86.920,681
Cole,0.010,86.929,682
Denny,0.010,86.939,683
Davis,0.010,86.949,684
Gavin,0.010,86.959,685
Emery,0.010,86.969,686
Ward,0.010,86.979,687
Romeo,0.010,86.989,688
Jayson,0.010,86.998,689
Dion,0.010,87.008,690
Dante,0.010,87.018,691
Clement,0.010,87.028,692
Coy,0.010,87.037,693
Odell,0.010,87.047,694
Maxwell,0.010,87.057,695
Jarvis,0.010,87.066,696
Bruno,0.010,87.076,697
Issac,0.010,87.086,698
Mary,0.009,87.095,699
Dudley,0.009,87.104,700
Brock,0.009,87.114,701
Sanford,0.009,87.123,702
Colby,0.009,87.133,703
Carmelo,0.009,87.142,704
Barney,0.009,87.152,705
Nestor,0.009,87.161,706
Hollis,0.009,87.170,707
Stefan,0.009,87.180,708
Donny,0.009,87.189,709
Art,0.009,87.198,710
Linwood,0.009,87.208,711
Beau,0.009,87.217,712
Weldon,0.009,87.226,713
Galen,0.009,87.235,714
Isidro,0.009,87.244,715
Truman,0.009,87.253,716
Delmar,0.009,87.262,717
Johnathon,0.009,87.271,718
Silas,0.009,87.280,719
Frederic,0.009,87.289,720
Dick,0.009,87.298,721
Kirby,0.009,87.307,722
Irwin,0.009,87.316,723
Cruz,0.009,87.325,724
Merlin,0.009,87.334,725
Merrill,0.009,87.343,726
Charley,0.009,87.351,727
Marcelino,0.009,87.360,728
Lane,0.009,87.369,729
Harris,0.009,87.378,730
Cleo,0.009,87.386,731
Carlo,0.009,87.395,732
Trenton,0.009,87.404,733
Kurtis,0.009,87.413,734
Hunter,0.009,87.421,735
Aurelio,0.009,87.430,736
Winfred,0.009,87.438,737
Vito,0.009,87.447,738
Collin,0.009,87.456,739
Denver,0.009,87.464,740
Carter,0.009,87.473,741
Leonel,0.008,87.481,742
Emory,0.008,87.490,743
Pasquale,0.008,87.498,744
Mohammad,0.008,87.506,745
Mariano,0.008,87.514,746
Danial,0.008,87.523,747
Blair,0.008,87.531,748
Landon,0.008,87.539,749
Dirk,0.008,87.548,750
Branden,0.008,87.556,751
Adan,0.008,87.564,752
Numbers,0.008,87.572,753
Clair,0.008,87.581,754
Buford,0.008,87.589,755
German,0.008,87.597,756
Bernie,0.008,87.605,757
Wilmer,0.008,87.613,758
Joan,0.008,87.621,759
Emerson,0.008,87.629,760
Zachery,0.008,87.637,761
Fletcher,0.008,87.645,762
Jacques,0.008,87.653,763
Errol,0.008,87.661,764
Dalton,0.008,87.669,765
Monroe,0.008,87.676,766
Josue,0.008,87.684,767
Dominique,0.008,87.692,768
Edwardo,0.008,87.700,769
Booker,0.008,87.708,770
Wilford,0.008,87.715,771
Sonny,0.008,87.723,772
Shelton,0.008,87.731,773
Carson,0.008,87.739,774
Theron,0.008,87.746,775
Raymundo,0.008,87.754,776
Daren,0.008,87.762,777
Tristan,0.008,87.769,778
Houston,0.008,87.777,779
Robby,0.008,87.785,780
Lincoln,0.008,87.792,781
Jame,0.008,87.800,782
Genaro,0.008,87.807,783
Gale,0.008,87.815,784
Bennett,0.008,87.822,785
Octavio,0.008,87.830,786
Cornell,0.008,87.838,787
Laverne,0.008,87.845,788
Hung,0.008,87.853,789
Arron,0.008,87.860,790
Antony,0.008,87.868,791
Herschel,0.007,87.875,792
Alva,0.007,87.883,793
Giovanni,0.007,87.890,794
Garth,0.007,87.897,795
Cyrus,0.007,87.905,796
Cyril,0.007,87.912,797
Ronny,0.007,87.920,798
Stevie,0.007,87.927,799
Lon,0.007,87.934,800
Freeman,0.007,87.941,801
Erin,0.007,87.949,802
Duncan,0.007,87.956,803
Kennith,0.007,87.963,804
Carmine,0.007,87.970,805
Augustine,0.007,87.978,806
Young,0.007,87.985,807
Erich,0.007,87.992,808
Chadwick,0.007,87.999,809
Wilburn,0.007,88.006,810
Russ,0.007,88.013,811
Reid,0.007,88.021,812
Myles,0.007,88.028,813
Anderson,0.007,88.035,814
Morton,0.007,88.042,815
Jonas,0.007,88.049,816
Forest,0.007,88.056,817
Mitchel,0.007,88.063,818
Mervin,0.007,88.070,819
Zane,0.007,88.077,820
Rich,0.007,88.084,821
Jamel,0.007,88.091,822
Lazaro,0.007,88.098,823
Alphonse,0.007,88.105,824
Randell,0.007,88.112,825
Major,0.007,88.119,826
Johnie,0.007,88.126,827
Jarrett,0.007,88.133,828
Brooks,0.007,88.140,829
Ariel,0.007,88.147,830
Abdul,0.007,88.154,831
Dusty,0.007,88.161,832
Luciano,0.007,88.168,833
Lindsey,0.007,88.174,834
Tracey,0.007,88.181,835
Seymour,0.007,88.188,836
Scottie,0.007,88.195,837
Eugenio,0.007,88.202,838
Mohammed,0.007,88.208,839
Sandy,0.007,88.215,840
Valentin,0.007,88.222,841
Chance,0.007,88.228,842
Arnulfo,0.007,88.235,843
Lucien,0.007,88.242,844
Ferdinand,0.007,88.248,845
Thad,0.007,88.255,846
Ezra,0.007,88.262,847
Sydney,0.007,88.268,848
Aldo,0.007,88.275,849
Rubin,0.006,88.281,850
Royal,0.006,88.288,851
Mitch,0.006,88.294,852
Earle,0.006,88.301,853
Abe,0.006,88.307,854
Wyatt,0.006,88.314,855
Marquis,0.006,88.320,856
Lanny,0.006,88.326,857
Kareem,0.006,88.333,858
Jamar,0.006,88.339,859
Boris,0.006,88.346,860
Isiah,0.006,88.352,861
Emile,0.006,88.358,862
Elmo,0.006,88.365,863
Aron,0.006,88.371,864
Leopoldo,0.006,88.377,865
Everette,0.006,88.384,866
Josef,0.006,88.390,867
Gail,0.006,88.396,868
Eloy,0.006,88.403,869
Dorian,0.006,88.409,870
Rodrick,0.006,88.415,871
Reinaldo,0.006,88.421,872
Lucio,0.006,88.427,873
Jerrod,0.006,88.434,874
Weston,0.006,88.440,875
Hershel,0.006,88.446,876
Barton,0.006,88.452,877
Parker,0.006,88.458,878
Lemuel,0.006,88.464,879
Lavern,0.006,88.470,880
Burt,0.006,88.477,881
Jules,0.006,88.483,882
Gil,0.006,88.489,883
Eliseo,0.006,88.495,884
Ahmad,0.006,88.501,885
Nigel,0.006,88.507,886
Efren,0.006,88.513,887
Antwan,0.006,88.519,888
Alden,0.006,88.525,889
Margarito,0.006,88.531,890
Coleman,0.006,88.537,891
Refugio,0.006,88.543,892
Dino,0.006,88.549,893
Osvaldo,0.006,88.555,894
Les,0.006,88.560,895
Deandre,0.006,88.566,896
Normand,0.006,88.572,897
Kieth,0.006,88.578,898
Ivory,0.006,88.584,899
Andrea,0.006,88.590,900
Trey,0.006,88.595,901
Norberto,0.006,88.601,902
Napoleon,0.006,88.607,903
Jerold,0.006,88.613,904
Fritz,0.006,88.619,905
Rosendo,0.006,88.624,906
Milford,0.006,88.630,907
Sang,0.006,88.636,908
Deon,0.006,88.641,909
Christoper,0.006,88.647,910
Alfonzo,0.006,88.653,911
Lyman,0.006,88.658,912
Josiah,0.006,88.664,913
Brant,0.006,88.670,914
Wilton,0.006,88.675,915
Rico,0.006,88.681,916
Jamaal,0.006,88.687,917
Dewitt,0.006,88.692,918
Carol,0.006,88.698,919
Brenton,0.006,88.704,920
Yong,0.006,88.709,921
Olin,0.006,88.715,922
Foster,0.006,88.720,923
Faustino,0.006,88.726,924
Claudio,0.006,88.731,925
Judson,0.006,88.737,926
Gino,0.006,88.743,927
Edgardo,0.006,88.748,928
Berry,0.006,88.754,929
Alec,0.006,88.759,930
Tanner,0.006,88.765,931
Jarred,0.006,88.770,932
Donn,0.006,88.776,933
Trinidad,0.005,88.781,934
Tad,0.005,88.787,935
Shirley,0.005,88.792,936
Prince,0.005,88.798,937
Porfirio,0.005,88.803,938
Odis,0.005,88.809,939
Maria,0.005,88.814,940
Lenard,0.005,88.820,941
Chauncey,0.005,88.825,942
Chang,0.005,88.831,943
Tod,0.005,88.836,944
Mel,0.005,88.842,945
Marcelo,0.005,88.847,946
Kory,0.005,88.853,947
Augustus,0.005,88.858,948
Keven,0.005,88.864,949
