Name,Weight,CumulativeWeight
Arlene,0.094,60.665,225
Maureen,0.092,60.757,226
Colleen,0.092,60.849,227
Allison,0.092,60.941,228
Tamara,0.092,61.033,229
Joy,0.091,61.124,230
Georgia,0.091,61.215,231
Constance,0.091,61.305,232
Lillie,0.090,61.396,233
Claudia,0.090,61.485,234
Jackie,0.090,61.575,235
Marcia,0.090,61.665,236
Tanya,0.089,61.754,237
Nellie,0.089,61.843,238
Minnie,0.089,61.931,239
Marlene,0.088,62.020,240
Heidi,0.088,62.108,241
Glenda,0.088,62.195,242
Lydia,0.086,62.281,243
Viola,0.086,62.367,244
Courtney,0.086,62.453,245
Marian,0.086,62.539,246
Stella,0.085,62.623,247
Caroline,0.085,62.708,248
Dora,0.084,62.792,249
Jo,0.083,62.875,250
Vickie,0.082,62.957,251
Mattie,0.081,63.038,252
Terry,0.080,63.118,253
Maxine,0.079,63.198,254
Irma,0.079,63.277,255
Mabel,0.078,63.355,256
Marsha,0.078,63.434,257
Myrtle,0.078,63.511,258
Lena,0.077,63.589,259
Christy,0.077,63.665,260
Deanna,0.076,63.742,261
Patsy,0.076,63.818,262
Hilda,0.075,63.893,263
Gwendolyn,0.074,63.967,264
Jennie,0.073,64.040,265
Nora,0.073,64.113,266
Margie,0.072,64.185,267
Nina,0.072,64.257,268
Cassandra,0.072,64.329,269
Leah,0.072,64.401,270
Penny,0.071,64.472,271
Kay,0.071,64.543,272
Priscilla,0.071,64.614,273
Naomi,0.071,64.684,274
Carole,0.071,64.755,275
Brandy,0.070,64.825,276
Olga,0.070,64.895,277
Billie,0.069,64.964,278
Dianne,0.069,65.033,279
Tracey,0.069,65.102,280
Leona,0.069,65.171,281
Jenny,0.068,65.239,282
Felicia,0.068,65.307,283
Sonia,0.068,65.374,284
Miriam,0.066,65.440,285
Velma,0.066,65.506,286
Becky,0.066,65.572,287
Bobbie,0.065,65.637,288
Violet,0.065,65.702,289
Kristina,0.065,65.767,290
Toni,0.064,65.831,291
Misty,0.063,65.894,292
Mae,0.063,65.957,293
Shelly,0.062,66.019,294
Daisy,0.062,66.081,295
Ramona,0.062,66.143,296
Sherri,0.062,66.205,297
Erika,0.061,66.267,298
Katrina,0.061,66.328,299
Claire,0.061,66.388,300
Lindsey,0.060,66.448,301
Lindsay,0.060,66.507,302
Geneva,0.059,66.567,303
Guadalupe,0.059,66.626,304
Belinda,0.059,66.685,305
Margarita,0.059,66.743,306
Sheryl,0.059,66.802,307
Cora,0.058,66.860,308
Faye,0.058,66.917,309
Ada,0.057,66.975,310
Natasha,0.057,67.032,311
Sabrina,0.057,67.089,312
Isabel,0.057,67.146,313
Marguerite,0.056,67.202,314
Hattie,0.056,67.257,315
Harriet,0.056,67.313,316
Molly,0.055,67.368,317
Cecilia,0.055,67.424,318
Kristi,0.055,67.479,319
Brandi,0.055,67.534,320
Blanche,0.055,67.589,321
Sandy,0.055,67.644,322
Rosie,0.055,67.699,323
Joanna,0.055,67.754,324
Iris,0.055,67.808,325
Eunice,0.054,67.863,326
Angie,0.054,67.917,327
Inez,0.053,67.970,328
Lynda,0.053,68.023,329
Madeline,0.052,68.075,330
Amelia,0.052,68.127,331
Alberta,0.052,68.179,332
Genevieve,0.051,68.230,333
Monique,0.051,68.282,334
Jodi,0.051,68.333,335
Janie,0.051,68.385,336
Maggie,0.051,68.436,337
Kayla,0.051,68.487,338
Sonya,0.051,68.538,339
Jan,0.051,68.589,340
Lee,0.051,68.641,341
Kristine,0.051,68.691,342
Candace,0.051,68.742,343
Fannie,0.050,68.792,344
Maryann,0.050,68.843,345
Opal,0.050,68.893,346
Alison,0.050,68.943,347
Yvette,0.050,68.993,348
Melody,0.050,69.043,349
Luz,0.049,69.092,350
Susie,0.049,69.142,351
Olivia,0.049,69.191,352
Flora,0.049,69.240,353
Shelley,0.049,69.288,354
Kristy,0.048,69.337,355
Mamie,0.048,69.385,356
Lula,0.048,69.433,357
Lola,0.048,69.482,358
Verna,0.048,69.530,359
Beulah,0.048,69.577,360
Antoinette,0.048,69.625,361
Candice,0.046,69.671,362
Juana,0.046,69.717,363
Jeannette,0.046,69.763,364
Pam,0.046,69.809,365
Kelli,0.046,69.854,366
Hannah,0.045,69.899,367
Whitney,0.045,69.944,368
Bridget,0.045,69.989,369
Karla,0.044,70.034,370
Celia,0.044,70.078,371
Latoya,0.043,70.121,372
Patty,0.043,70.165,373
Shelia,0.043,70.208,374
Gayle,0.043,70.251,375
Della,0.043,70.294,376
Vicky,0.043,70.336,377
Lynne,0.043,70.379,378
Sheri,0.042,70.421,379
Marianne,0.042,70.463,380
Kara,0.041,70.504,381
Jacquelyn,0.041,70.544,382
Erma,0.041,70.585,383
Blanca,0.041,70.626,384
Myra,0.040,70.666,385
Leticia,0.040,70.706,386
Pat,0.040,70.746,387
Krista,0.040,70.786,388
Roxanne,0.040,70.826,389
Angelica,0.039,70.865,390
Johnnie,0.039,70.905,391
Robyn,0.039,70.944,392
Francis,0.039,70.983,393
Adrienne,0.039,71.022,394
Rosalie,0.039,71.061,395
Alexandra,0.039,71.100,396
Brooke,0.039,71.139,397
Bethany,0.039,71.177,398
Sadie,0.039,71.216,399
Bernadette,0.039,71.254,400
Traci,0.038,71.293,401
Jody,0.038,71.331,402
Kendra,0.038,71.369,403
Jasmine,0.038,71.407,404
Nichole,0.038,71.445,405
Rachael,0.038,71.483,406
Chelsea,0.038,71.520,407
Mable,0.038,71.558,408
Ernestine,0.038,71.596,409
Muriel,0.038,71.634,410
Marcella,0.037,71.671,411
Elena,0.037,71.708,412
Krystal,0.037,71.745,413
Angelina,0.037,71.781,414
Nadine,0.036,71.818,415
Kari,0.036,71.853,416
Estelle,0.036,71.889,417
Dianna,0.036,71.925,418
Paulette,0.036,71.961,419
Lora,0.036,71.996,420
Mona,0.035,72.032,421
Doreen,0.035,72.067,422
Rosemarie,0.035,72.102,423
Angel,0.035,72.137,424
Desiree,0.035,72.172,425
Antonia,0.035,72.207,426
Hope,0.034,72.241,427
Ginger,0.034,72.274,428
Janis,0.034,72.308,429
Betsy,0.034,72.342,430
Christie,0.034,72.375,431
Freda,0.034,72.409,432
Mercedes,0.033,72.442,433
Meredith,0.033,72.475,434
Lynette,0.033,72.508,435
Teri,0.033,72.541,436
Cristina,0.033,72.573,437
Eula,0.033,72.606,438
Leigh,0.032,72.638,439
Meghan,0.032,72.670,440
Sophia,0.032,72.702,441
Eloise,0.032,72.734,442
Rochelle,0.032,72.766,443
Gretchen,0.032,72.798,444
Cecelia,0.032,72.829,445
Raquel,0.031,72.860,446
Henrietta,0.031,72.891,447
Alyssa,0.031,72.922,448
Jana,0.031,72.953,449
Kelley,0.031,72.983,450
Gwen,0.031,73.014,451
Kerry,0.031,73.044,452
Jenna,0.030,73.075,453
Tricia,0.030,73.105,454
Laverne,0.030,73.135,455
Olive,0.030,73.165,456
Alexis,0.030,73.195,457
Tasha,0.030,73.225,458
Silvia,0.029,73.254,459
Elvira,0.029,73.284,460
Casey,0.029,73.313,461
Delia,0.029,73.342,462
Sophie,0.029,73.372,463
Kate,0.029,73.401,464
Patti,0.029,73.430,465
Lorena,0.029,73.459,466
Kellie,0.029,73.488,467
Sonja,0.029,73.517,468
Lila,0.029,73.546,469
Lana,0.029,73.575,470
Darla,0.029,73.604,471
May,0.029,73.633,472
Mindy,0.029,73.661,473
Essie,0.029,73.690,474
Mandy,0.029,73.719,475
Lorene,0.028,73.747,476
Elsa,0.028,73.775,477
Josefina,0.028,73.804,478
Jeannie,0.028,73.832,479
Miranda,0.028,73.860,480
Dixie,0.028,73.888,481
Lucia,0.028,73.916,482
Marta,0.028,73.944,483
Faith,0.028,73.972,484
Lela,0.028,73.999,485
Johanna,0.028,74.027,486
Shari,0.028,74.055,487
Camille,0.028,74.082,488
Tami,0.027,74.110,489
Shawna,0.027,74.137,490
Elisa,0.027,74.164,491
Ebony,0.027,74.192,492
Melba,0.027,74.219,493
Ora,0.027,74.246,494
Nettie,0.027,74.273,495
Tabitha,0.027,74.300,496
Ollie,0.027,74.327,497
Jaime,0.027,74.354,498
Winifred,0.027,74.381,499
Kristie,0.027,74.408,500
Marina,0.027,74.435,501
Alisha,0.027,74.462,502
Aimee,0.027,74.488,503
Rena,0.027,74.515,504
Myrna,0.026,74.541,505
Marla,0.026,74.567,506
Tammie,0.026,74.593,507
Latasha,0.026,74.619,508
Bonita,0.026,74.645,509
Patrice,0.026,74.671,510
Ronda,0.026,74.697,511
Sherrie,0.026,74.722,512
Addie,0.026,74.748,513
Francine,0.025,74.773,514
Deloris,0.025,74.799,515
Stacie,0.025,74.824,516
Adriana,0.025,74.849,517
Cheri,0.025,74.874,518
Shelby,0.025,74.899,519
Abigail,0.025,74.924,520
Celeste,0.025,74.949,521
Jewel,0.025,74.974,522
Cara,0.025,74.999,523
Adele,0.025,75.024,524
Rebekah,0.025,75.048,525
Lucinda,0.025,75.073,526
Dorthy,0.025,75.097,527
Chris,0.024,75.122,528
Effie,0.024,75.146,529
Trina,0.024,75.171,530
Reba,0.024,75.195,531
Shawn,0.024,75.219,532
Sallie,0.024,75.244,533
Aurora,0.024,75.268,534
Lenora,0.024,75.292,535
Etta,0.024,75.317,536
Lottie,0.024,75.341,537
Kerri,0.024,75.365,538
Trisha,0.024,75.389,539
Nikki,0.024,75.413,540
Estella,0.024,75.438,541
Francisca,0.024,75.461,542
Josie,0.024,75.485,543
Tracie,0.024,75.509,544
Marissa,0.024,75.533,545
Karin,0.024,75.557,546
Brittney,0.024,75.580,547
Janelle,0.024,75.604,548
Lourdes,0.024,75.628,549
Laurel,0.024,75.651,550
Helene,0.024,75.675,551
Fern,0.024,75.698,552
Elva,0.024,75.722,553
Corinne,0.024,75.745,554
Kelsey,0.024,75.769,555
Ina,0.023,75.792,556
Bettie,0.023,75.816,557
Elisabeth,0.023,75.839,558
Aida,0.023,75.862,559
Caitlin,0.023,75.886,560
Ingrid,0.023,75.909,561
Iva,0.023,75.932,562
Eugenia,0.023,75.955,563
Christa,0.023,75.978,564
Goldie,0.023,76.000,565
Cassie,0.023,76.023,566
Maude,0.023,76.046,567
Jenifer,0.023,76.068,568
Therese,0.022,76.091,569
Frankie,0.022,76.113,570
Dena,0.022,76.136,571
Lorna,0.022,76.158,572
Janette,0.022,76.180,573
Latonya,0.022,76.202,574
Candy,0.022,76.224,575
Morgan,0.022,76.247,576
Consuelo,0.022,76.269,577
Tamika,0.022,76.291,578
Rosetta,0.022,76.313,579
Debora,0.022,76.334,580
Cherie,0.022,76.356,581
Polly,0.022,76.378,582
Dina,0.022,76.400,583
Jewell,0.021,76.421,584
Fay,0.021,76.442,585
Jillian,0.021,76.464,586
Dorothea,0.021,76.485,587
Nell,0.021,76.506,588
Trudy,0.021,76.527,589
Esperanza,0.021,76.548,590
Patrica,0.021,76.570,591
Kimberley,0.021,76.591,592
Shanna,0.021,76.611,593
Helena,0.021,76.632,594
Carolina,0.021,76.653,595
Cleo,0.021,76.674,596
Stefanie,0.021,76.694,597
Rosario,0.020,76.715,598
Ola,0.020,76.735,599
Janine,0.020,76.756,600
Mollie,0.020,76.776,601
Lupe,0.020,76.796,602
Alisa,0.020,76.816,603
Lou,0.020,76.836,604
Maribel,0.020,76.856,605
Susanne,0.020,76.875,606
Bette,0.019,76.895,607
Susana,0.019,76.914,608
Elise,0.019,76.933,609
Cecile,0.019,76.953,610
Isabelle,0.019,76.972,611
Lesley,0.019,76.991,612
Jocelyn,0.019,77.010,613
Paige,0.019,77.030,614
Joni,0.019,77.049,615
Rachelle,0.019,77.068,616
Leola,0.019,77.087,617
Daphne,0.019,77.106,618
Alta,0.019,77.125,619
Ester,0.019,77.144,620
Petra,0.019,77.162,621
Graciela,0.019,77.181,622
Imogene,0.019,77.200,623
Jolene,0.019,77.219,624
Keisha,0.019,77.237,625
Lacey,0.018,77.256,626
Glenna,0.018,77.274,627
Gabriela,0.018,77.293,628
Keri,0.018,77.311,629
Ursula,0.018,77.329,630
Lizzie,0.018,77.347,631
Kirsten,0.018,77.366,632
Shana,0.018,77.384,633
Adeline,0.018,77.402,634
Mayra,0.018,77.420,635
Jayne,0.018,77.438,636
Jaclyn,0.018,77.456,637
Gracie,0.018,77.474,638
Sondra,0.018,77.492,639
Carmela,0.018,77.509,640
Marisa,0.018,77.527,641
Rosalind,0.018,77.545,642
Charity,0.018,77.563,643
Tonia,0.018,77.580,644
Beatriz,0.018,77.598,645
Marisol,0.018,77.616,646
Clarice,0.018,77.633,647
Jeanine,0.017,77.651,648
Sheena,0.017,77.668,649
Angeline,0.017,77.685,650
Frieda,0.017,77.703,651
Lily,0.017,77.720,652
Robbie,0.017,77.737,653
Shauna,0.017,77.754,654
Millie,0.017,77.771,655
Claudette,0.017,77.788,656
Cathleen,0.017,77.805,657
Angelia,0.017,77.822,658
Gabrielle,0.017,77.839,659
Autumn,0.017,77.856,660
Katharine,0.017,77.873,661
Summer,0.017,77.890,662
Jodie,0.017,77.907,663
Staci,0.017,77.923,664
Lea,0.017,77.940,665
Christi,0.017,77.957,666
Jimmie,0.017,77.974,667
Justine,0.017,77.990,668
Elma,0.017,78.007,669
Luella,0.017,78.023,670
Margret,0.017,78.040,671
Dominique,0.016,78.056,672
Socorro,0.016,78.073,673
Rene,0.016,78.089,674
Martina,0.016,78.105,675
Margo,0.016,78.122,676
Mavis,0.016,78.138,677
Callie,0.016,78.154,678
Bobbi,0.016,78.170,679
Maritza,0.016,78.186,680
Lucile,0.016,78.202,681
Leanne,0.016,78.219,682
Jeannine,0.016,78.235,683
Deana,0.016,78.251,684
Aileen,0.016,78.267,685
Lorie,0.016,78.282,686
Ladonna,0.016,78.298,687
Willa,0.016,78.314,688
Manuela,0.016,78.330,689
Gale,0.016,78.346,690
Selma,0.016,78.361,691
Dolly,0.016,78.377,692
Sybil,0.016,78.393,693
Abby,0.016,78.408,694
Lara,0.016,78.424,695
Dale,0.016,78.440,696
Ivy,0.016,78.455,697
Dee,0.016,78.471,698
Winnie,0.016,78.486,699
Marcy,0.016,78.502,700
Luisa,0.016,78.517,701
Jeri,0.015,78.533,702
Magdalena,0.015,78.548,703
Ofelia,0.015,78.563,704
Meagan,0.015,78.579,705
Audra,0.015,78.594,706
Matilda,0.015,78.609,707
Leila,0.015,78.624,708
Cornelia,0.015,78.639,709
Bianca,0.015,78.654,710
Simone,0.015,78.669,711
Bettye,0.015,78.684,712
Randi,0.015,78.699,713
Virgie,0.015,78.713,714
Latisha,0.015,78.728,715
Barbra,0.015,78.743,716
Georgina,0.015,78.758,717
Eliza,0.015,78.772,718
Leann,0.015,78.787,719
Bridgette,0.015,78.801,720
Rhoda,0.014,78.816,721
Haley,0.014,78.830,722
Adela,0.014,78.845,723
Nola,0.014,78.859,724
Bernadine,0.014,78.873,725
Flossie,0.014,78.887,726
Ila,0.014,78.902,727
Greta,0.014,78.916,728
Ruthie,0.014,78.930,729
Nelda,0.014,78.944,730
Minerva,0.014,78.958,731
Lilly,0.014,78.973,732
Terrie,0.014,78.987,733
Letha,0.014,79.001,734
Hilary,0.014,79.015,735
Estela,0.014,79.029,736
Valarie,0.014,79.043,737
Brianna,0.014,79.057,738
Rosalyn,0.014,79.071,739
Earline,0.014,79.085,740
Catalina,0.014,79.099,741
Ava,0.014,79.113,742
Mia,0.014,79.127,743
Clarissa,0.014,79.141,744
Lidia,0.014,79.155,745
Corrine,0.014,79.169,746
Alexandria,0.014,79.183,747
Concepcion,0.014,79.196,748
Tia,0.014,79.210,749
Sharron,0.014,79.224,750
Rae,0.014,79.238,751
Dona,0.014,79.251,752
Ericka,0.014,79.265,753
Jami,0.014,79.278,754
Elnora,0.014,79.292,755
Chandra,0.014,79.306,756
Lenore,0.014,79.319,757
Neva,0.013,79.333,758
Marylou,0.013,79.346,759
Melisa,0.013,79.360,760
Tabatha,0.013,79.373,761
Serena,0.013,79.386,762
Avis,0.013,79.400,763
Allie,0.013,79.413,764
Sofia,0.013,79.426,765
Jeanie,0.013,79.439,766
Odessa,0.013,79.453,767
Nannie,0.013,79.466,768
Harriett,0.013,79.479,769
Loraine,0.013,79.492,770
Penelope,0.013,79.505,771
Milagros,0.013,79.518,772
Emilia,0.013,79.531,773
Benita,0.013,79.544,774
Allyson,0.013,79.557,775
Ashlee,0.013,79.570,776
Tania,0.013,79.583,777
Tommie,0.013,79.596,778
Esmeralda,0.013,79.608,779
Karina,0.013,79.621,780
Eve,0.013,79.634,781
Pearlie,0.013,79.647,782
Zelma,0.013,79.659,783
Malinda,0.013,79.672,784
Noreen,0.013,79.684,785
Tameka,0.013,79.697,786
Saundra,0.013,79.710,787
Hillary,0.013,79.722,788
Amie,0.013,79.735,789
Althea,0.012,79.747,790
Rosalinda,0.012,79.760,791
Jordan,0.012,79.772,792
Lilia,0.012,79.784,793
Alana,0.012,79.797,794
Gay,0.012,79.809,795
Clare,0.012,79.821,796
Alejandra,0.012,79.834,797
Elinor,0.012,79.846,798
Michael,0.012,79.858,799
Lorrie,0.012,79.870,800
Jerri,0.012,79.882,801
Darcy,0.012,79.895,802
Earnestine,0.012,79.907,803
Carmella,0.012,79.919,804
Taylor,0.012,79.931,805
Noemi,0.012,79.943,806
Marcie,0.012,79.954,807
Liza,0.012,79.966,808
Annabelle,0.012,79.978,809
Louisa,0.012,79.990,810
Earlene,0.012,80.002,811
Mallory,0.012,80.014,812
Carlene,0.012,80.025,813
Nita,0.012,80.037,814
Selena,0.012,80.049,815
Tanisha,0.012,80.060,816
Katy,0.012,80.072,817
Julianne,0.012,80.083,818
John,0.012,80.095,819
Lakisha,0.011,80.106,820
Edwina,0.011,80.118,821
Maricela,0.011,80.129,822
Margery,0.011,80.141,823
Kenya,0.011,80.152,824
Dollie,0.011,80.164,825
Roxie,0.011,80.175,826
Roslyn,0.011,80.187,827
Kathrine,0.011,80.198,828
Nanette,0.011,80.209,829
Charmaine,0.011,80.221,830
Lavonne,0.011,80.232,831
Ilene,0.011,80.243,832
Kris,0.011,80.255,833
Tammi,0.011,80.266,834
Suzette,0.011,80.277,835
Corine,0.011,80.288,836
Kaye,0.011,80.300,837
Jerry,0.011,80.311,838
Merle,0.011,80.322,839
Chrystal,0.011,80.333,840
Lina,0.011,80.344,841
Deanne,0.011,80.355,842
Lilian,0.011,80.366,843
Juliana,0.011,80.377,844
Aline,0.011,80.388,845
Luann,0.011,80.399,846
Kasey,0.011,80.410,847
Maryanne,0.011,80.421,848
Evangeline,0.011,80.432,849
Colette,0.011,80.443,850
Melva,0.011,80.453,851
Lawanda,0.011,80.464,852
Yesenia,0.011,80.475,853
Nadia,0.011,80.486,854
Madge,0.011,80.497,855
Kathie,0.011,80.507,856
Eddie,0.011,80.518,857
Ophelia,0.011,80.529,858
Valeria,0.011,80.539,859
Nona,0.011,80.550,860
Mitzi,0.011,80.561,861
Mari,0.011,80.571,862
Georgette,0.011,80.582,863
Claudine,0.011,80.592,864
Fran,0.011,80.603,865
Alissa,0.011,80.613,866
Roseann,0.010,80.624,867
Lakeisha,0.010,80.634,868
Susanna,0.010,80.645,869
Reva,0.010,80.655,870
Deidre,0.010,80.665,871
Chasity,0.010,80.676,872
Sheree,0.010,80.686,873
Carly,0.010,80.697,874
James,0.010,80.707,875
Elvia,0.010,80.717,876
Alyce,0.010,80.728,877
Deirdre,0.010,80.738,878
Gena,0.010,80.748,879
Briana,0.010,80.758,880
Araceli,0.010,80.769,881
Katelyn,0.010,80.779,882
Rosanne,0.010,80.789,883
Wendi,0.010,80.799,884
Tessa,0.010,80.810,885
Berta,0.010,80.820,886
Marva,0.010,80.830,887
Imelda,0.010,80.840,888
Marietta,0.010,80.850,889
Marci,0.010,80.860,890
Leonor,0.010,80.870,891
Arline,0.010,80.880,892
Sasha,0.010,80.890,893
Madelyn,0.010,80.900,894
Janna,0.010,80.910,895
Juliette,0.010,80.920,896
Deena,0.010,80.929,897
Aurelia,0.010,80.939,898
Josefa,0.010,80.949,899
Augusta,0.010,80.959,900
Liliana,0.010,80.968,901
Young,0.010,80.978,902
Christian,0.010,80.988,903
Lessie,0.010,80.997,904
Amalia,0.010,81.007,905
Savannah,0.010,81.017,906
Anastasia,0.010,81.026,907
Vilma,0.010,81.036,908
Natalia,0.010,81.045,909
Rosella,0.010,81.055,910
Lynnette,0.010,81.064,911
Corina,0.010,81.074,912
Alfreda,0.009,81.083,913
Leanna,0.009,81.093,914
Carey,0.009,81.102,915
Amparo,0.009,81.112,916
Coleen,0.009,81.121,917
Tamra,0.009,81.131,918
Aisha,0.009,81.140,919
Wilda,0.009,81.149,920
Karyn,0.009,81.159,921
Cherry,0.009,81.168,922
Queen,0.009,81.177,923
Maura,0.009,81.187,924
Mai,0.009,81.196,925
Evangelina,0.009,81.205,926
Rosanna,0.009,81.214,927
Hallie,0.009,81.224,928
Erna,0.009,81.233,929
Enid,0.009,81.242,930
Mariana,0.009,81.251,931
Lacy,0.009,81.260,932
Juliet,0.009,81.270,933
Jacklyn,0.009,81.279,934
Freida,0.009,81.288,935
Madeleine,0.009,81.297,936
Mara,0.009,81.306,937
Hester,0.009,81.315,938
Cathryn,0.009,81.324,939
Lelia,0.009,81.333,940
Casandra,0.009,81.343,941
Bridgett,0.009,81.352,942
Angelita,0.009,81.361,943
