USPS,GEOID,ANSICODE,NAME,LSAD,FUNCSTAT,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
AL,0109424,02405321,Brilliant town,43,A,27687370,0,10.690,0.000,34.025353,-87.769145
AL,0109457,02582664,Bristow Cove CDP,57,S,28083738,0,10.843,0.000,34.109216,-86.240993
AL,0109500,02403203,Brook Highland CDP,57,S,7267730,125104,2.806,0.048,33.442208,-86.686656
AL,0109736,02405331,Brookside town,43,A,16582314,27676,6.402,0.011,33.636966,-86.896080
AL,0109808,02405333,Brookwood town,43,A,21677043,236620,8.370,0.091,33.239844,-87.331494
AL,0109880,02582666,Broomtown CDP,57,S,12156602,0,4.694,0.000,34.365728,-85.532112
AL,0110240,02403943,Brundidge city,25,A,25241182,83770,9.746,0.032,31.717639,-85.817550
AL,0110456,02628581,Bucks CDP,57,S,1003273,92976,0.387,0.036,31.016881,-88.026385
AL,0111032,02405351,Butler town,43,A,14419994,0,5.568,0.000,32.095113,-88.213970
AL,0111416,02403965,Calera city,25,A,62376107,685210,24.084,0.265,33.122319,-86.745644
AL,0111488,02628582,Calvert CDP,57,S,8879545,48801,3.428,0.019,31.154470,-88.010460
AL,0111512,02403975,Camden city,25,A,10836797,34892,4.184,0.013,31.998493,-87.288950
AL,0111680,02405370,Camp Hill town,43,A,23283459,256575,8.990,0.099,32.797327,-85.655833
AL,0112016,02403992,Carbon Hill city,25,A,14245476,221464,5.500,0.086,33.894991,-87.522078
AL,0112040,02405377,Cardiff town,43,A,649165,0,0.251,0.000,33.647188,-86.930557
AL,0112070,02582667,Carlisle-Rockledge CDP,57,S,41929653,12741,16.189,0.005,34.114451,-86.124073
AL,0112112,02628583,Carlton CDP,57,S,11706473,12193,4.520,0.005,31.348571,-87.835666
AL,0112160,02405380,Carolina town,43,A,2871453,20504,1.109,0.008,31.234150,-86.521001
AL,0112304,02405384,Carrollton town,43,A,5331435,59271,2.058,0.023,33.261903,-88.095071
AL,0112496,02406236,Castleberry town,43,A,4431204,48957,1.711,0.019,31.299678,-87.029129
AL,0112544,02628584,Catherine CDP,57,S,5944728,0,2.295,0.000,32.186170,-87.469978
AL,0112760,02406240,Cedar Bluff town,43,A,13174609,152247,5.087,0.059,34.221422,-85.588565
AL,0113264,02404020,Center Point city,25,A,16069792,21221,6.205,0.008,33.643903,-86.684567
AL,0113648,02404025,Centre city,25,A,29628797,241373,11.440,0.093,34.155363,-85.668842
AL,0113672,02404026,Centreville city,25,A,24478657,378533,9.451,0.146,32.958798,-87.132305
AL,0114008,02406259,Chatom town,43,A,27770887,0,10.722,0.000,31.469145,-88.246019
AL,0114104,02404037,Chelsea city,25,A,57175117,976845,22.075,0.377,33.326887,-86.629519
AL,0114152,02406262,Cherokee town,43,A,5740564,704,2.216,0.000,34.757700,-87.965589
AL,0114392,02404045,Chickasaw city,25,A,10894952,909156,4.207,0.351,30.771450,-88.079697
AL,0114464,02404048,Childersburg city,25,A,31919335,652240,12.324,0.252,33.291877,-86.340599
AL,0114728,02582668,Choccolocco CDP,57,S,30159923,239225,11.645,0.092,33.674346,-85.710918
AL,0114968,02628585,Chunchula CDP,57,S,4671130,21008,1.804,0.008,30.927194,-88.208200
AL,0115064,02404051,Citronelle city,25,A,66930189,713078,25.842,0.275,31.097269,-88.249843
AL,0115136,02404052,Clanton city,25,A,56812440,353342,21.935,0.136,32.841704,-86.623008
AL,0115256,02404063,Clay city,25,A,25712608,159780,9.928,0.062,33.696582,-86.608166
AL,0115304,02406273,Clayhatchee town,43,A,7039400,0,2.718,0.000,31.236925,-85.721478
AL,0115376,02406274,Clayton town,43,A,17293354,0,6.677,0.000,31.882414,-85.460541
AL,0115472,02406278,Cleveland town,43,A,20308407,131765,7.841,0.051,34.002179,-86.561352
AL,0115640,02404082,Clio city,25,A,26070325,23254,10.066,0.009,31.708516,-85.611039
AL,0116000,02406286,Coaling town,43,A,12986097,178716,5.014,0.069,33.169901,-87.349887
AL,0116080,02582669,Coats Bend CDP,57,S,22144514,67515,8.550,0.026,34.073273,-85.874602
AL,0116240,02406288,Coffee Springs town,43,A,2030176,29256,0.784,0.011,31.165836,-85.910898
AL,0116264,02406289,Coffeeville town,43,A,11706601,0,4.520,0.000,31.766564,-88.086049
AL,0116312,02406291,Coker town,43,A,5271311,23040,2.035,0.009,33.243752,-87.681329
AL,0116600,02406296,Collinsville town,43,A,10141848,45133,3.916,0.017,34.262193,-85.867868
AL,0116684,02406297,Colony town,43,A,5832129,22734,2.252,0.009,33.941185,-86.901864
AL,0116744,02406298,Columbia town,43,A,10181708,170212,3.931,0.066,31.295351,-85.110202
AL,0116768,02404109,Columbiana city,25,A,44835274,261034,17.311,0.101,33.191452,-86.615618
AL,0116936,02402792,Concord CDP,57,S,8716229,44246,3.365,0.017,33.461986,-87.040435
AL,0117176,02406310,Coosada town,43,A,18328247,643867,7.077,0.249,32.495394,-86.326543
AL,0117368,02404130,Cordova city,25,A,15091310,292352,5.827,0.113,33.761292,-87.201099
AL,0117704,02727439,Cottondale CDP,57,S,8973300,46443,3.465,0.018,33.193047,-87.454861
AL,0117824,02406321,Cottonwood town,43,A,14950836,67217,5.773,0.026,31.054033,-85.299560
AL,0117968,02406322,County Line town,43,A,2500017,0,0.965,0.000,33.820895,-86.719730
AL,0118040,02406323,Courtland town,43,A,7646446,64056,2.952,0.025,34.669946,-87.327892
AL,0118088,02406329,Cowarts town,43,A,19196913,128863,7.412,0.050,31.206248,-85.309769
AL,0118304,02404149,Creola city,25,A,36878729,2374530,14.239,0.917,30.874343,-88.009442
AL,0118856,02406341,Crossville town,43,A,21676691,1995,8.369,0.001,34.285486,-85.998756
AL,0118952,02406344,Cuba town,43,A,10520892,18721,4.062,0.007,32.440733,-88.374798
AL,0118976,02404166,Cullman city,25,A,50147181,3094442,19.362,1.195,34.179337,-86.840793
AL,0119024,02628586,Cullomburg CDP,57,S,13842493,0,5.345,0.000,31.713061,-88.291774
AL,0119216,02424934,Cusseta town,43,A,6783080,0,2.619,0.000,32.787654,-85.305748
AL,0119336,02404175,Dadeville city,25,A,41287909,219837,15.941,0.085,32.826114,-85.776201
AL,0119360,02404178,Daleville city,25,A,36490054,0,14.089,0.000,31.291397,-85.711418
AL,0119648,02404186,Daphne city,25,A,42694236,3179888,16.484,1.228,30.625545,-87.895979
AL,0119744,02406357,Dauphin Island town,43,A,16204185,413605152,6.256,159.694,30.250913,-88.171268
AL,0119816,02406360,Daviston town,43,A,23658278,77680,9.135,0.030,33.056839,-85.634329
AL,0119912,02406361,Dayton town,43,A,2585204,0,0.998,0.000,32.350958,-87.641573
AL,0120008,02406364,Deatsville town,43,A,12075453,81173,4.662,0.031,32.588972,-86.388984
AL,0120104,02404206,Decatur city,25,A,141006257,17594716,54.443,6.793,34.573321,-86.992135
AL,0120152,02628587,Deer Park CDP,57,S,8094329,161688,3.125,0.062,31.218369,-88.328023
AL,0120272,02582670,Delta CDP,57,S,20167124,272009,7.787,0.105,33.440524,-85.675905
AL,0120296,02404214,Demopolis city,25,A,45941151,837165,17.738,0.323,32.499938,-87.825426
AL,0120392,02406377,Detroit town,43,A,3434686,0,1.326,0.000,34.027379,-88.167831
AL,0120955,02406384,Dodge City town,43,A,8913021,26837,3.441,0.010,34.045414,-86.882670
AL,0121136,02404235,Dora city,25,A,19450626,22559,7.510,0.009,33.729703,-87.083874
AL,0121184,02404238,Dothan city,25,A,232166237,835468,89.640,0.323,31.233698,-85.406823
AL,0121280,02406389,Double Springs town,43,A,10643727,57640,4.110,0.022,34.151340,-87.403488
AL,0121328,02406390,Douglas town,43,A,8817652,21418,3.405,0.008,34.168258,-86.323386
AL,0121448,02406394,Dozier town,43,A,7660285,30819,2.958,0.012,31.505407,-86.369235
AL,0121890,02582671,Dunnavant CDP,57,S,46750421,2603158,18.050,1.005,33.508673,-86.529843
AL,0121952,02406408,Dutton town,43,A,2237817,0,0.864,0.000,34.606152,-85.911850
AL,0122216,02403531,East Brewton city,25,A,8826252,91015,3.408,0.035,31.091440,-87.055345
AL,0122504,02628588,East Point CDP,57,S,2878380,20069,1.111,0.008,34.191023,-86.791785
AL,0122816,02406420,Eclectic town,43,A,10864839,215212,4.195,0.083,32.640179,-86.041096
AL,0123032,02402443,Edgewater CDP,57,S,3140569,61545,1.213,0.024,33.530099,-86.952790
AL,0123176,02406427,Edwardsville town,43,A,42588934,0,16.444,0.000,33.883740,-85.414124
AL,0123224,02582672,Egypt CDP,57,S,23341363,0,9.012,0.000,34.075931,-86.165051
AL,0123296,02403549,Elba city,25,A,39725065,207250,15.338,0.080,31.417313,-86.077189
AL,0123320,02406430,Elberta town,43,A,17806123,261887,6.875,0.101,30.373689,-87.595778
AL,0123344,02406431,Eldridge town,43,A,1813734,0,0.700,0.000,33.922018,-87.620108
AL,0123488,02406437,Elkmont town,43,A,4137995,28880,1.598,0.011,34.932604,-86.976971
AL,0123656,02406444,Elmore town,43,A,10222339,176500,3.947,0.068,32.544337,-86.336446
AL,0123872,02406447,Emelle town,43,A,546062,0,0.211,0.000,32.728678,-88.316486
AL,0123880,02582673,Emerald Mountain CDP,57,S,41668686,1673592,16.088,0.646,32.447641,-86.094618
AL,0124184,02403567,Enterprise city,25,A,79305520,174204,30.620,0.067,31.326912,-85.844077
AL,0124256,02406456,Epes town,43,A,4970535,0,1.919,0.000,32.691249,-88.126852
AL,0124472,02406465,Ethelsville town,43,A,1468611,0,0.567,0.000,33.414066,-88.216093
AL,0124568,02403575,Eufaula city,25,A,153817226,36482611,59.389,14.086,31.910041,-85.152556
AL,0124616,02633143,Eunola CDP,57,S,4753113,37294,1.835,0.014,31.031390,-85.833966
AL,0124664,02406470,Eutaw town,43,A,30907153,197192,11.933,0.076,32.846247,-87.900332
AL,0124688,02406472,Eva town,43,A,10544874,78981,4.071,0.030,34.326504,-86.765318
AL,0124808,02403584,Evergreen city,25,A,40412368,459686,15.603,0.177,31.442718,-86.959904
AL,0124880,02406476,Excel town,43,A,4264592,647,1.647,0.000,31.426386,-87.343663
AL,0125120,02403587,Fairfield city,25,A,8987176,0,3.470,0.000,33.474705,-86.919340
AL,0125216,02628589,Fairford CDP,57,S,7953598,0,3.071,0.000,31.178002,-88.072784
AL,0125240,02403590,Fairhope city,25,A,31211411,52083,12.051,0.020,30.520920,-87.879122
AL,0125384,02406480,Fairview town,43,A,7013196,39930,2.708,0.015,34.249060,-86.688834
AL,0125648,02406488,Falkville town,43,A,9786878,46596,3.779,0.018,34.377019,-86.909547
AL,0125816,02406495,Faunsdale town,43,A,717508,0,0.277,0.000,32.457614,-87.593789
AL,0125840,02403599,Fayette city,25,A,22143481,212108,8.550,0.082,33.694215,-87.831169
AL,0125864,02582674,Fayetteville CDP,57,S,45178321,6034534,17.443,2.330,33.168097,-86.442774
AL,0126152,02628590,Fitzpatrick CDP,57,S,10780817,91583,4.162,0.035,32.210373,-85.873699
AL,0126200,02406498,Five Points town,43,A,2667066,0,1.030,0.000,33.017311,-85.351592
AL,0126824,02406500,Flomaton town,43,A,13172116,287919,5.086,0.111,31.014816,-87.256016
AL,0126848,02406502,Florala town,43,A,27279015,1158376,10.532,0.447,31.022391,-86.318152
AL,0126896,02403619,Florence city,25,A,67609959,522106,26.104,0.202,34.830323,-87.666139
AL,0126992,02403626,Foley city,25,A,80800698,338185,31.197,0.131,30.397009,-87.664211
AL,0127088,02402493,Forestdale CDP,57,S,17479591,0,6.749,0.000,33.573680,-86.900139
AL,0127376,02406506,Forkland town,43,A,9049378,29059,3.494,0.011,32.647435,-87.867436
AL,0127520,02406507,Fort Deposit town,43,A,14663106,0,5.661,0.000,31.986261,-86.566359
AL,0127616,02403645,Fort Payne city,25,A,145527967,924063,56.189,0.357,34.457329,-85.689447
AL,0127640,02402503,Fort Rucker CDP,57,S,28186630,46399,10.883,0.018,31.342576,-85.716072
AL,0128024,02406517,Franklin town,43,A,11573059,20086,4.468,0.008,32.455269,-85.807017
AL,0128120,02582675,Fredonia CDP,57,S,31025631,67880,11.979,0.026,32.967905,-85.296657
AL,0128312,02406528,Frisco City town,43,A,10427492,24638,4.026,0.010,31.439485,-87.404182
AL,0128408,02628591,Fruitdale CDP,57,S,11586507,43413,4.474,0.017,31.349790,-88.410937
AL,0128432,02406529,Fruithurst town,43,A,2590755,0,1.000,0.000,33.729539,-85.431249
AL,0128504,02406530,Fulton town,43,A,6348281,1428,2.451,0.001,31.790989,-87.744212
AL,0128552,02403671,Fultondale city,25,A,31587942,0,12.196,0.000,33.617648,-86.801595
AL,0128672,02406534,Fyffe town,43,A,11411255,0,4.406,0.000,34.449615,-85.904969
AL,0128696,02403673,Gadsden city,25,A,96637272,3060329,37.312,1.182,34.009563,-86.015643
AL,0128768,02406537,Gainesville town,43,A,4452046,0,1.719,0.000,32.814934,-88.160791
AL,0128816,02582676,Gallant CDP,57,S,37246641,130033,14.381,0.050,34.001318,-86.230171
AL,0128936,02406539,Gantt town,43,A,1682655,86431,0.650,0.033,31.410740,-86.483524
AL,0129032,02406541,Garden City town,43,A,7792122,66169,3.009,0.026,34.019437,-86.750564
AL,0129056,02403681,Gardendale city,25,A,59372465,7891,22.924,0.003,33.676587,-86.809844
AL,0129296,02406555,Gaylesville town,43,A,887876,0,0.343,0.000,34.268103,-85.558468
AL,0129392,02406556,Geiger town,43,A,2447757,11627,0.945,0.004,32.868715,-88.318154
AL,0129464,02403687,Geneva city,25,A,41109631,487453,15.873,0.188,31.044886,-85.876818
AL,0129560,02406560,Georgiana town,43,A,16154540,0,6.237,0.000,31.639134,-86.746762
AL,0129608,02406561,Geraldine town,43,A,10144006,30156,3.917,0.012,34.359087,-86.002579
AL,0129704,02406569,Gilbertown town,43,A,2018198,0,0.779,0.000,31.875791,-88.319489
AL,0129944,02406574,Glen Allen town,43,A,16973888,36826,6.554,0.014,33.892108,-87.732682
AL,0129992,02403701,Glencoe city,25,A,43855204,214782,16.933,0.083,33.939389,-85.934313
AL,0130160,02406579,Glenwood town,43,A,1892924,9019,0.731,0.003,31.671266,-86.173687
AL,0130448,02406586,Goldville town,43,A,2552525,39434,0.986,0.015,33.084867,-85.777982
AL,0130496,02406587,Good Hope town,43,A,20551215,121512,7.935,0.047,34.109835,-86.865195
AL,0130640,02406589,Goodwater town,43,A,16819854,75870,6.494,0.029,33.060835,-86.052333
AL,0130736,02406590,Gordo town,43,A,8424800,10956,3.253,0.004,33.322286,-87.903681
AL,0130760,02406591,Gordon town,43,A,8189961,0,3.162,0.000,31.143938,-85.093249
AL,0130808,02406593,Gordonville town,43,A,14354369,150144,5.542,0.058,32.159179,-86.704235
AL,0130880,02406594,Goshen town,43,A,6634644,40200,2.562,0.016,31.720015,-86.123245
AL,0131000,02582677,Graham CDP,57,S,15162088,0,5.854,0.000,33.455191,-85.323085
AL,0131024,02402543,Grand Bay CDP,57,S,22467601,63278,8.675,0.024,30.472082,-88.344401
AL,0131096,02406603,Grant town,43,A,4774998,10961,1.844,0.004,34.518173,-86.260430
AL,0131348,02402547,Grayson Valley CDP,57,S,5195638,0,2.006,0.000,33.647029,-86.641324
AL,0131384,02403734,Graysville city,25,A,43830003,0,16.923,0.000,33.658258,-86.967320
AL,0131720,02403743,Greensboro city,25,A,6156793,24951,2.377,0.010,32.700968,-87.593700
AL,0131912,02403748,Greenville city,25,A,55310689,455198,21.356,0.176,31.843072,-86.636951
AL,0132056,02406621,Grimes town,43,A,3238259,0,1.250,0.000,31.299862,-85.450292
AL,0132080,02406623,Grove Hill town,43,A,12869745,4824,4.969,0.002,31.702294,-87.773845
AL,0132224,02403768,Guin city,25,A,38732863,0,14.955,0.000,33.982923,-87.901804
AL,0132248,02628592,Gulfcrest CDP,57,S,3921828,8275,1.514,0.003,30.991106,-88.242231
AL,0132272,02403770,Gulf Shores city,25,A,68404118,12559039,26.411,4.849,30.273981,-87.707168
AL,0132416,02403774,Guntersville city,25,A,65748892,44109667,25.386,17.031,34.367947,-86.252323
AL,0132440,02406631,Gurley town,43,A,9105547,4113,3.516,0.002,34.702471,-86.374330
AL,0132536,02406632,Gu-Win town,43,A,5028328,0,1.941,0.000,33.944319,-87.870368
AL,0132560,02406635,Hackleburg town,43,A,39560858,27325,15.275,0.011,34.269355,-87.830402
AL,0132584,02582678,Hackneyville CDP,57,S,23213873,39942,8.963,0.015,33.054654,-85.934423
AL,0132656,02406636,Haleburg town,43,A,9940861,0,3.838,0.000,31.409976,-85.138068
AL,0132704,02403782,Haleyville city,25,A,21550661,160420,8.321,0.062,34.233832,-87.617574
AL,0132848,02403785,Hamilton city,25,A,98576630,37327,38.061,0.014,34.138710,-87.970837
AL,0132896,02406640,Hammondville town,43,A,12694841,32179,4.902,0.012,34.566264,-85.640252
AL,0132968,02403793,Hanceville city,25,A,10934768,37040,4.222,0.014,34.062507,-86.762524
AL,0133256,02406645,Harpersville town,43,A,54768490,894572,21.146,0.345,33.317725,-86.428431
AL,0133424,02403808,Hartford city,25,A,16152099,37439,6.236,0.014,31.105348,-85.691225
AL,0133448,02403812,Hartselle city,25,A,42357220,215309,16.354,0.083,34.440434,-86.940364
AL,0133472,02402570,Harvest CDP,57,S,31941938,164176,12.333,0.063,34.855070,-86.758643
AL,0133544,02628593,Hatton CDP,57,S,3453276,20291,1.333,0.008,34.560671,-87.413835
AL,0133640,02405806,Hayden town,43,A,10384651,3810,4.010,0.001,33.894514,-86.744224
AL,0133712,02405810,Hayneville town,43,A,4820399,41973,1.861,0.016,32.182595,-86.578588
AL,0133808,02402573,Hazel Green CDP,57,S,25985876,35423,10.033,0.014,34.923656,-86.567392
AL,0133856,02404672,Headland city,25,A,78556178,25295,30.331,0.010,31.354974,-85.357031
AL,0133904,02405811,Heath town,43,A,2305495,26326,0.890,0.010,31.344839,-86.469050
AL,0133976,02404675,Heflin city,25,A,41665234,463512,16.087,0.179,33.647400,-85.569339
AL,0134024,02404677,Helena city,25,A,53950336,833954,20.830,0.322,33.285635,-86.874488
AL,0134096,02404680,Henagar city,25,A,57679595,86665,22.270,0.033,34.630641,-85.730918
AL,0134480,02405832,Highland Lake town,43,A,4224630,925584,1.631,0.357,33.894586,-86.422553
AL,0134490,02582679,Highland Lakes CDP,57,S,9732306,356456,3.758,0.138,33.398378,-86.651296
AL,0134816,02405838,Hillsboro town,43,A,4872759,6209,1.881,0.002,34.642586,-87.178489
AL,0134984,02582680,Hissop CDP,57,S,47282444,19512,18.256,0.008,32.869773,-86.123622
AL,0135130,02628594,Hobson CDP,57,S,7625399,78982,2.944,0.030,31.488725,-88.150928
AL,0135152,02405845,Hobson City town,43,A,2699661,3578,1.042,0.001,33.618801,-85.846146
AL,0135200,02405846,Hodges town,43,A,10689877,16413,4.127,0.006,34.334246,-87.923160
AL,0135392,02404710,Hokes Bluff city,25,A,30893300,423908,11.928,0.164,33.989682,-85.862873
AL,0135512,02582681,Hollins CDP,57,S,30670725,80205,11.842,0.031,33.121757,-86.126967
AL,0135536,02582682,Hollis Crossroads CDP,57,S,32259647,4589,12.456,0.002,33.531333,-85.652862
AL,0135560,02405852,Holly Pond town,43,A,11491221,51521,4.437,0.020,34.167187,-86.611799
AL,0135632,02405855,Hollywood town,43,A,23091793,38737,8.916,0.015,34.717279,-85.965579
AL,0135704,02402595,Holt CDP,57,S,8194157,36475,3.164,0.014,33.229745,-87.482894
AL,0135752,02582683,Holtville CDP,57,S,55886986,9460580,21.578,3.653,32.630299,-86.328004
AL,0135800,02404724,Homewood city,25,A,21657260,171816,8.362,0.066,33.458550,-86.809650
AL,0135896,02404725,Hoover city,25,A,122016784,2553332,47.111,0.986,33.376949,-86.805579
AL,0136088,02405862,Horn Hill town,43,A,6618368,135412,2.555,0.052,31.238158,-86.325104
AL,0136448,02404738,Hueytown city,25,A,50358247,652165,19.443,0.252,33.408484,-87.016580
AL,0136592,02402603,Huguley CDP,57,S,21569717,0,8.328,0.000,32.843022,-85.239424
AL,0137000,02404746,Huntsville city,25,A,552604579,3452021,213.362,1.333,34.699013,-86.672980
AL,0137096,02405877,Hurtsboro town,43,A,2674546,0,1.033,0.000,32.240090,-85.414670
AL,0137264,02405879,Hytop town,43,A,5877476,0,2.269,0.000,34.906403,-86.085258
AL,0137312,02405880,Ider town,43,A,14077428,0,5.435,0.000,34.702161,-85.669042
AL,0137465,02404759,Indian Springs Village city,25,A,9993643,82885,3.859,0.032,33.361209,-86.746856
AL,0137864,02404765,Irondale city,25,A,44851494,427267,17.317,0.165,33.539847,-86.660539
AL,0138032,02582684,Ivalee CDP,57,S,19297932,0,7.451,0.000,34.037200,-86.147175
AL,0138152,02404775,Jackson city,25,A,40505589,497291,15.639,0.192,31.532321,-87.891183
AL,0138248,02405902,Jacksons' Gap town,43,A,22054945,50818,8.515,0.020,32.884019,-85.815046
AL,0138272,02404780,Jacksonville city,25,A,28365902,24984,10.952,0.010,33.809108,-85.753918
AL,0138416,02404790,Jasper city,25,A,73890155,222997,28.529,0.086,33.856035,-87.270268
AL,0138608,02404801,Jemison city,25,A,29384581,188725,11.345,0.073,32.970705,-86.733070
AL,0139064,02628595,Joppa CDP,57,S,5036131,70361,1.944,0.027,34.299550,-86.549946
AL,0139280,02405930,Kansas town,43,A,2632975,7172,1.017,0.003,33.902808,-87.556598
AL,0139472,02405933,Kellyton town,43,A,2504087,1487,0.967,0.001,32.979188,-86.034608
AL,0139520,02405936,Kennedy town,43,A,7948840,0,3.069,0.000,33.580891,-87.986179
AL,0139784,02405945,Killen town,43,A,5243522,13074,2.025,0.005,34.860954,-87.529346
